amfi_code,scheme_name,return_3yr_pct,expense_ratio_pct,sharpe_ratio,alpha,max_drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
119551,SBI Bluechip Fund - Regular Plan - Growth,12.36,1.54,1.2082665673727175,0.23201007160635082,-0.1501238549864533,0.375,0.925,0.775,0.2625,0.425,58.06
119552,SBI Bluechip Fund - Direct Plan - Growth,11.3,0.66,0.9532794968660104,0.1986859936686296,-0.11803493502764295,0.175,0.725,0.65,0.925,0.275,53.0
119598,SBI Small Cap Fund - Regular Plan - Growth,23.39,1.43,0.9453082575156095,0.3033696538698332,-0.2870600572176455,1.0,0.675,1.0,0.5,0.9,83.38
119599,SBI Small Cap Fund - Direct Plan - Growth,23.14,0.72,-0.05718662582817995,0.048824215945539845,-0.5257422117012851,0.975,0.225,0.125,0.8875,1.0,60.69
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,6.07,0.77,-0.22657538662791576,0.05620895216638369,-0.04328728923970093,0.075,0.1,0.175,0.8,0.125,21.5
100016,HDFC Top 100 Fund - Regular Plan - Growth,14.84,1.55,-0.20151706755966936,0.03747580763443282,-0.24734440880673303,0.625,0.15,0.05,0.225,0.85,35.38
125497,HDFC Top 100 Fund - Direct Plan - Growth,13.38,0.92,0.7757902498211205,0.17729754927531766,-0.15200013055606398,0.425,0.575,0.625,0.675,0.45,54.25
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,16.58,1.38,1.093698743534631,0.2719535450128533,-0.16217208574644848,0.775,0.85,0.875,0.6,0.5,76.0
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.29,0.78,0.30061192104254786,0.11989100971217971,-0.21117279560132118,0.675,0.35,0.375,0.775,0.725,55.38
100025,HDFC Short Term Debt Fund - Regular - Growth,7.37,0.56,-0.5670947928476846,0.042817920315060876,-0.04308263824636349,0.125,0.05,0.075,0.975,0.1,22.12
120503,ICICI Pru Bluechip Fund - Regular - Growth,11.54,1.42,0.7979728586052847,0.17703302365844073,-0.13897862823061635,0.2,0.6,0.6,0.525,0.35,44.38
120504,ICICI Pru Bluechip Fund - Direct - Growth,14.41,0.8,1.0265242847993001,0.2119482701352573,-0.12588275606922517,0.525,0.775,0.7,0.725,0.3,63.0
120505,ICICI Pru Midcap Fund - Regular - Growth,18.08,1.36,1.1801011976606492,0.2926358334175106,-0.18188513572116294,0.825,0.9,0.95,0.65,0.625,82.25
120506,ICICI Pru Value Discovery Fund - Regular - Growth,14.76,1.41,0.6488787755249532,0.1625385327998104,-0.1982565826298267,0.575,0.525,0.525,0.55,0.675,55.88
120507,ICICI Pru Liquid Fund - Regular - Growth,7.68,0.74,0.4957233929533123,0.06746210411099539,-0.0009773140045925555,0.15,0.45,0.25,0.85,0.025,33.75
118632,Nippon India Large Cap Fund - Regular - Growth,14.0,1.51,1.0816591793457042,0.21829397904608644,-0.17414075086657232,0.5,0.825,0.75,0.4125,0.575,62.56
118633,Nippon India Large Cap Fund - Direct - Growth,12.33,0.72,0.6452074382933215,0.15643835948169668,-0.18629743138595511,0.35,0.5,0.475,0.8875,0.65,52.31
118634,Nippon India Small Cap Fund - Regular - Growth,20.15,1.53,0.44843400890899127,0.1750072167561127,-0.2334488614483311,0.9,0.375,0.575,0.3125,0.8,60.56
118635,Nippon India ETF Nifty 50 BeES,11.77,0.89,0.664856998549062,0.1513635464823924,-0.1165062450540909,0.225,0.55,0.45,0.7,0.25,42.5
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.31,0.55,-0.35662950751436784,0.05074772999976104,-0.08316361763638702,0.05,0.075,0.15,1.0,0.15,22.88
120841,Kotak Bluechip Fund - Regular - Growth,12.25,1.59,0.4942725378672349,0.13042924450705445,-0.1757361416468729,0.325,0.425,0.4,0.15,0.6,36.62
120842,Kotak Emerging Equity Fund - Regular - Growth,18.23,1.56,0.07599984804658923,0.0780443887615508,-0.24003511326274884,0.85,0.275,0.3,0.2,0.825,49.62
120843,Kotak Flexicap Fund - Regular - Growth,15.65,1.45,1.3067439695428409,0.27330465038306057,-0.1297396816518679,0.75,0.975,0.9,0.475,0.325,75.25
120844,Kotak Liquid Fund - Regular - Growth,6.18,0.6,-0.08874729621557288,0.06455677495375998,-0.0011629327956168556,0.1,0.175,0.225,0.95,0.05,26.62
119092,Axis Bluechip Fund - Regular - Growth,11.84,1.64,0.03078485095458594,0.0689952982167755,-0.1440161790933726,0.25,0.25,0.275,0.0375,0.375,23.56
119093,Axis Bluechip Fund - Direct - Growth,12.14,0.75,0.12961449795669328,0.08232801295222093,-0.21751396370148224,0.3,0.3,0.325,0.825,0.775,43.12
119094,Axis Midcap Fund - Regular - Growth,15.18,1.38,0.9982309868636413,0.2607666908004223,-0.20960883862039192,0.65,0.75,0.8,0.6,0.7,70.25
119095,Axis Small Cap Fund - Regular - Growth,20.98,1.38,-0.0759735711747892,0.048015953637759554,-0.5167775370852656,0.925,0.2,0.1,0.6,0.975,53.5
101206,ABSL Frontline Equity Fund - Regular - Growth,13.78,1.6,1.0272133278753695,0.21399784776051212,-0.11291596329323073,0.475,0.8,0.725,0.1125,0.225,52.69
101207,ABSL Small Cap Fund - Regular - Growth,22.38,1.53,0.16266076928646772,0.10897091901704538,-0.3544691649336603,0.95,0.325,0.35,0.3125,0.95,57.81
101208,ABSL Liquid Fund - Regular - Growth,5.14,0.79,-0.8155673679088263,0.060861457957871144,-0.0016224980244717857,0.025,0.025,0.2,0.75,0.075,17.38
102885,UTI Nifty 50 Index Fund - Regular - Growth,12.1,1.57,0.8170993373494367,0.17048756803412696,-0.1085986215250232,0.275,0.625,0.55,0.175,0.175,39.25
102886,UTI Mid Cap Fund - Regular - Growth,15.61,1.51,-0.20583160785470309,0.028969397866379445,-0.2800112356639287,0.725,0.125,0.025,0.4125,0.875,40.31
102887,UTI Flexi Cap Fund - Regular - Growth,15.34,1.64,0.6195175900829828,0.16211256794033255,-0.21539827112383225,0.7,0.475,0.5,0.0375,0.75,50.94
148567,Mirae Asset Large Cap Fund - Regular - Growth,14.81,1.46,1.4482911703262598,0.2698375144191807,-0.11265729075028275,0.6,1.0,0.85,0.45,0.2,68.75
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.56,1.52,0.9262873467360144,0.20873010086942337,-0.1527259422823477,0.55,0.65,0.675,0.3625,0.475,56.44
148569,Mirae Asset Tax Saver Fund - Regular - Growth,13.58,1.6,1.2349300257743294,0.2827036785246582,-0.1639674294693263,0.45,0.95,0.925,0.1125,0.525,62.69
149322,DSP Top 100 Equity Fund - Regular - Growth,12.82,1.54,0.46403744922047774,0.13173190226099432,-0.14844576917771746,0.4,0.4,0.425,0.2625,0.4,38.44
149323,DSP Midcap Fund - Regular - Growth,17.16,1.61,1.1321218524747243,0.26598577542043045,-0.17248105753451382,0.8,0.875,0.825,0.075,0.55,69.0
149324,DSP Small Cap Fund - Regular - Growth,20.08,1.52,0.9497958246616031,0.3005787817097677,-0.31171900300634214,0.875,0.7,0.975,0.3625,0.925,77.94
